TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,OBS_VALUE
2012,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,12.303664921
2014,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,25.870989997
2015,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,25.731790334
2016,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,24.601289447
2017,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,24.518092661
2018,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,23.537368955
2019,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,23.480013436
2020,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,22.518568535
2021,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,22.113766409
2022,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,21.347941567
2023,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,22.042139384
2005,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,32.825438887
2006,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,32.980832783
2007,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,31.742323097
2008,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,30.694397853
2009,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,28.284923928
2010,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,28.684300928
2020,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,15.805946792
2021,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,15.691351631
2022,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,15.17311609
2023,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,16.084604033
2005,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,27.485062466
2006,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,27.518959913
2007,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,26.457883369
2011,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.703745234
2012,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.74864219
2006,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,36.688014639
2015,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,44
2013,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,24.161073826
2006,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,17.725752508
2013,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.5943238731
2006,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.3907466789
2013,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.5970453388
2011,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.944444443
2013,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,10.051546392
2013,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,26.587578507
2013,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20
2013,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,13.725490194
2010,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,5.4794520548
2013,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,17.906976744
2006,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,25.266666667
2006,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.6558704453
2013,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,33.314009662
2013,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,24.786324786
2013,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,20.551801802
2013,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.507493693
2020,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,10
2021,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,4
2022,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,0
2023,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,9.0909090909
2012,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,13.333333333
2013,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,0
2014,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,6.25
2015,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,5.7142857143
2016,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,5
2017,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,0
2018,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,0
2007,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,1.7798357219
2008,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,0.3531786115
